English	Description	de	es	fr	it	pt_BR	nl	ca	cs	pl	hu	lt	sv	tr	ru	uk	ja	ko	zh_CN	zh_TW	th	vi	eu
Infill	Material printed inside the walls to give the part its strength.	Füllung	Relleno	Remplissage	Riempimento	Preenchimento	Vulling	Farciment	Výplň	Wypełnienie	Kitöltés	Užpildas	Ifyllnad	Dolgu	Заполнение	Заповнення	インフィル	채우기	填充	填充	ไส้ใน	—	Betegarria
Sparse infill	The low-density infill of the part interior, whose density and pattern are configurable.	Füllung	Relleno poco denso	Remplissage	Riempimento sparso	Preenchimento esparso	Dunne vulling (infill)	Farciment poc dens	Řídká výplň	Wypełnienie	Kitöltés	Retas užpildas	Sparsam ifyllnad	Dolgu	Заполнение	Часткове заповнення	スパース インフィル	드문 채우기	稀疏填充	稀疏填充	ไส้ในแบบโปร่ง	Infill thưa	Dentsitate baxuko betegarria
Outer wall	The outermost perimeter loop of each layer — the surface the user sees.	Außenwand	Perímetro externo	Paroi extérieure	Parete esterna	Parede externa	Buitenste wand	Perímetre exterior	Vnější stěna	Zewnętrzna ściana	Külső fal	Išorinė sienelė	Yttre vägg	Dış duvar	Внешние периметры	Зовнішня стінка	外壁	외벽	外墙	外牆	ผนังด้านนอก	Thành ngoài	Kanpoko horma
Inner wall	The perimeter loops printed behind the outer wall.	Innere Wand	Perímetro interno	Paroi intérieure	Parete interna	Parede interna	Binnenste wand	Perímetre interior	Vnitřní stěna	Wewnętrzna ściana	Belső fal	Vidinė sienelė	Inre vägg	İç duvar	Внутренние периметры	Внутрішня стінка	内壁	내벽	内墙	內牆	ผนังด้านใน	Thành trong	Barruko horma
Wall loops	The number of perimeter loops (walls) printed around each layer.	Wandschleifen	Bucles de perímetro	Nombre de parois	Perimetri di stampa	Voltas da parede	Wanden	Bucles de perímetre	Smyčky stěn	Liczba pętli ściany	Falak száma	Sienelės kontūrai	Antal väggar	Duvar döngüleri	Периметры	Кількість стінок	壁面層数	벽 루프	墙层数	牆層數	จำนวนรอบผนัง	Vòng wall	Hormako begiztak
Shell	The solid outer skin of the part — its walls plus the top and bottom layers.	Schale	Cubierta	Coque	Guscio	Casca	Buitenlaag	Carcassa	Plášť	Powłoka	Héj	Apvalkalas	Skal	Kabuk	Оболочка	Оболонка	シェル	쉘	外壳	外殼	ผนัง	—	Oskola
Fillet	A rounded transition between two edges or surfaces.	Gefüllte Wand	Pared con chaflán	Paroi avec congé	Parete con raccordo	Parede chanfrada	—	Paret amb arrodoniment	Zaoblená stěna	Zaokrąglij ścianę	Lekerekített fal	Sienelės suapvalinimas (Fillet)	—	Kavisli duvar	Скруглять углы	—	フィレット壁	필렛 벽	墙加圆角	圓角牆體	ผนังเนื้อ	Thành bo tròn	Erradio-horma
Chamfer	A flat, angled (beveled) transition between two edges or surfaces (contrast with a rounded Fillet).	—	Chaflán	—	—	Chanfro	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Brim	A flat band of extrusions around the first layer that improves bed adhesion.	Umrandung	Borde de adherencia	Bordure	Tesa	Borda	Rand	Vora d'Adherència	Límec	—	Perem	Kraštas	—	Kenar	Кайма	Кайма	ブリム	브림	Brim	邊緣	ขอบยึดชิ้นงาน	—	Itsaspen ertza
Elephant foot	Bulging or flaring of the first layers, caused by the weight of the print pressing them out.	Elefantenfuß	Pata de elefante	Patte d'éléphant	Zampa d'elefante	Pé de elefante	Elephant foot	Peu d'elefant	Sloní noha	Stopa słonia	Elefántláb	Dramblio pėda	Elefantfot	Fil ayağı	Слоновья нога	Слонова стопа	—	코끼리 발	象脚	象腳	—	Chân voi	Elefante-oina
